,Dept,Date,Dept_Total_Sales
129,1,2012-07-27,632525.48
130,1,2012-08-03,657372.05
131,1,2012-08-10,645714.28
132,1,2012-08-17,644341.48
133,1,2012-08-24,643308.17
134,1,2012-08-31,649190.54
135,1,2012-09-07,700311.48
136,1,2012-09-14,727323.11
137,1,2012-09-21,740105.84
138,1,2012-09-28,754344.66
139,1,2012-10-05,855362.83
140,1,2012-10-12,936707.78
141,1,2012-10-19,1037182.46
142,1,2012-10-26,1295180.09
143,2,2010-02-05,1997831.89
144,2,2010-02-12,1839217.77
145,2,2010-02-19,1961685.93
146,2,2010-02-26,1859531.58
147,2,2010-03-05,1957870.82
148,2,2010-03-12,1908498.17
149,2,2010-03-19,1848039.78
150,2,2010-03-26,1826143.3
151,2,2010-04-02,1957167.66
152,2,2010-04-09,1903127.59
153,2,2010-04-16,1960979.2
154,2,2010-04-23,1949495.18
155,2,2010-04-30,1888891.04
156,2,2010-05-07,1961636.98
157,2,2010-05-14,1859488.52
158,2,2010-05-21,1954877.5899999999
159,2,2010-05-28,1979840.8
160,2,2010-06-04,2014908.3
161,2,2010-06-11,2017306.62
162,2,2010-06-18,2026116.55
163,2,2010-06-25,1967652.41
164,2,2010-07-02,2089116.78
165,2,2010-07-09,2010639.27
166,2,2010-07-16,2075141.24
167,2,2010-07-23,2038898.93
168,2,2010-07-30,2038851.6099999999
169,2,2010-08-06,2120901.47
170,2,2010-08-13,2082299.8499999999
171,2,2010-08-20,2150558.54
172,2,2010-08-27,2124944.95
173,2,2010-09-03,2117039.29
174,2,2010-09-10,1991188.88
175,2,2010-09-17,1895427.1500000001
176,2,2010-09-24,1875950.51
177,2,2010-10-01,1887216.78
178,2,2010-10-08,1922452.75
179,2,2010-10-15,1833936.14
180,2,2010-10-22,1847370.39
181,2,2010-10-29,1817791.94
182,2,2010-11-05,1870613.54
183,2,2010-11-12,1827782.32
184,2,2010-11-19,1804648.03
185,2,2010-11-26,1844297.0
186,2,2010-12-03,1853046.38
187,2,2010-12-10,1968591.53
188,2,2010-12-17,2120921.88
189,2,2010-12-24,2657428.0500000003
190,2,2010-12-31,1545570.5
191,2,2011-01-07,1799906.29
192,2,2011-01-14,1701879.1
193,2,2011-01-21,1773920.57
194,2,2011-01-28,1682712.98
195,2,2011-02-04,1853050.88
196,2,2011-02-11,1904078.62
197,2,2011-02-18,1995935.46
198,2,2011-02-25,1924869.43
199,2,2011-03-04,2044729.77
200,2,2011-03-11,1903723.58
201,2,2011-03-18,1908655.15
202,2,2011-03-25,1870694.51
203,2,2011-04-01,1875748.52
204,2,2011-04-08,1939021.8399999999
205,2,2011-04-15,1883416.84
206,2,2011-04-22,1973286.35
207,2,2011-04-29,1810197.72
208,2,2011-05-06,1940981.5
209,2,2011-05-13,1833291.86
210,2,2011-05-20,1901289.72
211,2,2011-05-27,1903197.61
212,2,2011-06-03,1995935.92
213,2,2011-06-10,1962504.61
214,2,2011-06-17,1984413.22
215,2,2011-06-24,1932495.59
216,2,2011-07-01,2025082.02
217,2,2011-07-08,2011695.44
218,2,2011-07-15,2012252.31
219,2,2011-07-22,2020007.67
220,2,2011-07-29,1978010.96
221,2,2011-08-05,2117353.71
222,2,2011-08-12,2024573.83
223,2,2011-08-19,2099590.33
224,2,2011-08-26,2126825.51
225,2,2011-09-02,1997245.33
226,2,2011-09-09,2037339.92
227,2,2011-09-16,1903111.42
228,2,2011-09-23,1876513.1800000002
229,2,2011-09-30,1875052.27
230,2,2011-10-07,1988546.44
231,2,2011-10-14,1859700.2
232,2,2011-10-21,1885925.96
233,2,2011-10-28,1840577.85
234,2,2011-11-04,1901037.62
235,2,2011-11-11,1925270.97
236,2,2011-11-18,1874553.68
237,2,2011-11-25,1917861.3
238,2,2011-12-02,1932328.4
239,2,2011-12-09,2048680.77
240,2,2011-12-16,2282396.9
241,2,2011-12-23,2846582.63
242,2,2011-12-30,1797200.9100000001
243,2,2012-01-06,1936413.71
244,2,2012-01-13,1852848.92
245,2,2012-01-20,1867059.89
246,2,2012-01-27,1730179.85
247,2,2012-02-03,1995274.05
248,2,2012-02-10,2037945.86
249,2,2012-02-17,1976676.22
250,2,2012-02-24,2046897.03
251,2,2012-03-02,2057833.09
252,2,2012-03-09,2040874.99
253,2,2012-03-16,1974819.02
254,2,2012-03-23,1910885.63
255,2,2012-03-30,1920718.83
256,2,2012-04-06,2097789.35
257,2,2012-04-13,1878746.16
258,2,2012-04-20,1966964.1400000001
259,2,2012-04-27,1884426.2
260,2,2012-05-04,2005742.54
261,2,2012-05-11,1898293.79
262,2,2012-05-18,1911921.14
263,2,2012-05-25,2005529.95
264,2,2012-06-01,1981080.91
265,2,2012-06-08,2090713.58
266,2,2012-06-15,2012809.67
267,2,2012-06-22,2018846.25
268,2,2012-06-29,2030133.87
269,2,2012-07-06,2116216.63
270,2,2012-07-13,2002513.3399999999
271,2,2012-07-20,2023071.13
272,2,2012-07-27,1956474.29
273,2,2012-08-03,2095041.31
274,2,2012-08-10,2068667.1
275,2,2012-08-17,2113176.6
276,2,2012-08-24,2130178.25
277,2,2012-08-31,2086129.21
278,2,2012-09-07,2076768.16
279,2,2012-09-14,1896324.58
280,2,2012-09-21,1891218.64
281,2,2012-09-28,1871196.15
282,2,2012-10-05,1988021.85
283,2,2012-10-12,1854886.45
284,2,2012-10-19,1879765.4
285,2,2012-10-26,1871912.1500000001
286,3,2010-02-05,484368.9
287,3,2010-02-12,429341.02
288,3,2010-02-19,410399.14
289,3,2010-02-26,415060.22
290,3,2010-03-05,422680.37
291,3,2010-03-12,402600.04
292,3,2010-03-19,371295.1
293,3,2010-03-26,366453.52
294,3,2010-04-02,394383.53
295,3,2010-04-09,363798.86
296,3,2010-04-16,367578.27999999997
297,3,2010-04-23,364661.02
298,3,2010-04-30,351428.5
299,3,2010-05-07,358981.4
300,3,2010-05-14,337182.18
301,3,2010-05-21,338514.3
302,3,2010-05-28,333315.17
303,3,2010-06-04,336620.63
304,3,2010-06-11,325413.49
305,3,2010-06-18,328534.33
306,3,2010-06-25,306124.49
307,3,2010-07-02,330118.36
308,3,2010-07-09,403325.8
309,3,2010-07-16,653314.7
310,3,2010-07-23,743785.11
311,3,2010-07-30,898057.09
312,3,2010-08-06,1110118.36
313,3,2010-08-13,1290841.1
314,3,2010-08-20,1614030.53
315,3,2010-08-27,1712142.12
316,3,2010-09-03,1156486.4
317,3,2010-09-10,753846.33
318,3,2010-09-17,484368.37
319,3,2010-09-24,378172.22
320,3,2010-10-01,364244.78
321,3,2010-10-08,372878.66
322,3,2010-10-15,350892.55
323,3,2010-10-22,353968.64
324,3,2010-10-29,347935.64
325,3,2010-11-05,345659.5
326,3,2010-11-12,359889.88
327,3,2010-11-19,353941.44
328,3,2010-11-26,441361.02
329,3,2010-12-03,431359.7
330,3,2010-12-10,492247.34
331,3,2010-12-17,562420.28
332,3,2010-12-24,675555.14
333,3,2010-12-31,301441.53
334,3,2011-01-07,549175.36
335,3,2011-01-14,475195.58
336,3,2011-01-21,504270.8
337,3,2011-01-28,459136.83
338,3,2011-02-04,420675.49
339,3,2011-02-11,419325.96
340,3,2011-02-18,406189.5
341,3,2011-02-25,378750.2
342,3,2011-03-04,396992.41000000003
343,3,2011-03-11,366154.41
344,3,2011-03-18,337396.52
345,3,2011-03-25,344012.41
346,3,2011-04-01,348184.67
347,3,2011-04-08,372609.8
348,3,2011-04-15,358246.5
349,3,2011-04-22,377171.8
350,3,2011-04-29,332808.82
351,3,2011-05-06,366485.64
352,3,2011-05-13,323495.72
353,3,2011-05-20,346803.59
354,3,2011-05-27,328547.08999999997
355,3,2011-06-03,322765.83
356,3,2011-06-10,317376.79
357,3,2011-06-17,315321.4
358,3,2011-06-24,309003.32
359,3,2011-07-01,320664.27
360,3,2011-07-08,362846.25
361,3,2011-07-15,544806.51
362,3,2011-07-22,721942.56
363,3,2011-07-29,857413.23
364,3,2011-08-05,1097011.27
365,3,2011-08-12,1325741.41
366,3,2011-08-19,1700775.01
367,3,2011-08-26,1816910.19
368,3,2011-09-02,1166310.87
369,3,2011-09-09,885746.0599999999
370,3,2011-09-16,532911.61
371,3,2011-09-23,400737.60000000003
372,3,2011-09-30,371700.66
373,3,2011-10-07,381847.51
374,3,2011-10-14,359252.62
375,3,2011-10-21,356250.83
376,3,2011-10-28,341737.12
377,3,2011-11-04,331869.55
378,3,2011-11-11,356089.82
379,3,2011-11-18,354950.47000000003
380,3,2011-11-25,402820.58
381,3,2011-12-02,423012.37
382,3,2011-12-09,492943.45
383,3,2011-12-16,575438.4
384,3,2011-12-23,693176.79
385,3,2011-12-30,367212.77
386,3,2012-01-06,525514.59
387,3,2012-01-13,499755.66
388,3,2012-01-20,524111.1
389,3,2012-01-27,476821.04000000004
390,3,2012-02-03,458572.82
391,3,2012-02-10,455155.94
392,3,2012-02-17,429306.38
393,3,2012-02-24,403618.45
394,3,2012-03-02,400441.48
395,3,2012-03-09,403302.68
396,3,2012-03-16,352773.44
397,3,2012-03-23,338477.86
398,3,2012-03-30,350879.96
399,3,2012-04-06,370600.21
400,3,2012-04-13,334182.72000000003
401,3,2012-04-20,351136.99
402,3,2012-04-27,329118.01
403,3,2012-05-04,352636.51
404,3,2012-05-11,345561.52
405,3,2012-05-18,327523.07
406,3,2012-05-25,336248.06
407,3,2012-06-01,319572.31
408,3,2012-06-08,339912.5
409,3,2012-06-15,328550.97
410,3,2012-06-22,309118.73
411,3,2012-06-29,324072.5
412,3,2012-07-06,358718.12
413,3,2012-07-13,589837.49
414,3,2012-07-20,827938.58
415,3,2012-07-27,851286.64
416,3,2012-08-03,1104998.65
417,3,2012-08-10,1286478.13
418,3,2012-08-17,1533531.8699999999
419,3,2012-08-24,1803173.56
420,3,2012-08-31,1645308.8
421,3,2012-09-07,1024883.4299999999
422,3,2012-09-14,562621.87
423,3,2012-09-21,409312.09
424,3,2012-09-28,374436.87
425,3,2012-10-05,376950.71
426,3,2012-10-12,350316.41
427,3,2012-10-19,348305.68
428,3,2012-10-26,348032.25
429,4,2010-02-05,1205801.77
430,4,2010-02-12,1075081.62
431,4,2010-02-19,1113781.74
432,4,2010-02-26,1075834.3900000001
433,4,2010-03-05,1145506.25
434,4,2010-03-12,1083931.4
435,4,2010-03-19,1064848.12
436,4,2010-03-26,1059748.84
437,4,2010-04-02,1159243.85
438,4,2010-04-09,1118048.3
439,4,2010-04-16,1128260.07
440,4,2010-04-23,1123331.86
441,4,2010-04-30,1092735.84
442,4,2010-05-07,1163071.31
443,4,2010-05-14,1070639.22
444,4,2010-05-21,1125451.42
445,4,2010-05-28,1176141.27
446,4,2010-06-04,1241819.63
447,4,2010-06-11,1151794.0
448,4,2010-06-18,1142759.48
449,4,2010-06-25,1121720.84
450,4,2010-07-02,1279859.28
451,4,2010-07-09,1244996.85
452,4,2010-07-16,1203742.94
453,4,2010-07-23,1167439.28
454,4,2010-07-30,1171582.4
455,4,2010-08-06,1262908.53
456,4,2010-08-13,1206480.65
457,4,2010-08-20,1242320.69
458,4,2010-08-27,1205434.12
459,4,2010-09-03,1290215.54
460,4,2010-09-10,1221526.58
461,4,2010-09-17,1130173.24
462,4,2010-09-24,1089132.03
463,4,2010-10-01,1090601.95
464,4,2010-10-08,1139907.49
465,4,2010-10-15,1080846.07
466,4,2010-10-22,1087854.92
467,4,2010-10-29,1087575.07
468,4,2010-11-05,1182124.68
469,4,2010-11-12,1134640.0
470,4,2010-11-19,1154129.2
471,4,2010-11-26,1278198.41
472,4,2010-12-03,1143635.65
473,4,2010-12-10,1160392.84
474,4,2010-12-17,1184405.19
475,4,2010-12-24,1388342.42
476,4,2010-12-31,1109270.31
477,4,2011-01-07,1222500.77
478,4,2011-01-14,1112880.72
479,4,2011-01-21,1106609.01
480,4,2011-01-28,1043022.12
481,4,2011-02-04,1167502.15
482,4,2011-02-11,1127758.53
483,4,2011-02-18,1119242.9
484,4,2011-02-25,1110974.49
485,4,2011-03-04,1183504.31
486,4,2011-03-11,1084423.69
487,4,2011-03-18,1093155.6
488,4,2011-03-25,1066047.89
489,4,2011-04-01,1090598.68
490,4,2011-04-08,1130611.7
491,4,2011-04-15,1068864.96
492,4,2011-04-22,1121396.17
493,4,2011-04-29,1069561.49
494,4,2011-05-06,1180599.79
495,4,2011-05-13,1079232.7
496,4,2011-05-20,1125804.4
497,4,2011-05-27,1148180.72
498,4,2011-06-03,1243921.86
499,4,2011-06-10,1168813.75
500,4,2011-06-17,1153631.08
501,4,2011-06-24,1130147.71
502,4,2011-07-01,1245458.23
503,4,2011-07-08,1237659.46
504,4,2011-07-15,1159041.95
505,4,2011-07-22,1162598.29
506,4,2011-07-29,1151014.32
507,4,2011-08-05,1278204.24
508,4,2011-08-12,1208181.22
509,4,2011-08-19,1258303.1
510,4,2011-08-26,1296742.01
511,4,2011-09-02,1214092.76
512,4,2011-09-09,1238491.24
513,4,2011-09-16,1149468.25
514,4,2011-09-23,1114860.87
515,4,2011-09-30,1107631.33
516,4,2011-10-07,1218882.17
517,4,2011-10-14,1119753.71
518,4,2011-10-21,1130328.91
519,4,2011-10-28,1116052.48
520,4,2011-11-04,1207829.75
521,4,2011-11-11,1194353.46
522,4,2011-11-18,1189365.21
523,4,2011-11-25,1330983.74
524,4,2011-12-02,1169291.72
525,4,2011-12-09,1188450.51
526,4,2011-12-16,1207211.52
527,4,2011-12-23,1388804.73
528,4,2011-12-30,1134063.24
529,4,2012-01-06,1312275.49
530,4,2012-01-13,1148915.9
531,4,2012-01-20,1134875.92
532,4,2012-01-27,1051860.06
533,4,2012-02-03,1198011.25
534,4,2012-02-10,1198930.07
535,4,2012-02-17,1130725.6300000001
536,4,2012-02-24,1152215.22
537,4,2012-03-02,1186385.7
538,4,2012-03-09,1167606.95
539,4,2012-03-16,1128731.08
540,4,2012-03-23,1098745.62
541,4,2012-03-30,1115067.1
542,4,2012-04-06,1269378.46
543,4,2012-04-13,1141175.85
544,4,2012-04-20,1167435.21
545,4,2012-04-27,1119801.1099999999
546,4,2012-05-04,1203834.99
547,4,2012-05-11,1131728.9
548,4,2012-05-18,1138041.68
549,4,2012-05-25,1232406.55
550,4,2012-06-01,1252502.93
551,4,2012-06-08,1276630.69
552,4,2012-06-15,1186658.64
553,4,2012-06-22,1168655.86
554,4,2012-06-29,1206631.79
555,4,2012-07-06,1347422.82
556,4,2012-07-13,1201826.6
557,4,2012-07-20,1214278.23
558,4,2012-07-27,1163598.81
559,4,2012-08-03,1271804.07
560,4,2012-08-10,1250046.56
561,4,2012-08-17,1243708.03
562,4,2012-08-24,1251628.53
563,4,2012-08-31,1245850.8
564,4,2012-09-07,1291517.23
565,4,2012-09-14,1140553.42
566,4,2012-09-21,1131506.47
567,4,2012-09-28,1104026.27
568,4,2012-10-05,1207399.66
569,4,2012-10-12,1136651.53
570,4,2012-10-19,1131269.31
571,4,2012-10-26,1151035.43
572,5,2010-02-05,1116952.54
573,5,2010-02-12,1148132.32
574,5,2010-02-19,1110717.47
575,5,2010-02-26,855568.9400000001
576,5,2010-03-05,930687.44
577,5,2010-03-12,1086789.71
578,5,2010-03-19,1063601.82
579,5,2010-03-26,1597422.3499999999
580,5,2010-04-02,1455216.22
581,5,2010-04-09,966470.35
582,5,2010-04-16,664778.07
583,5,2010-04-23,1079977.16
584,5,2010-04-30,980717.96
585,5,2010-05-07,802426.63
586,5,2010-05-14,779465.99
587,5,2010-05-21,652243.0
588,5,2010-05-28,663149.99
589,5,2010-06-04,905648.54
590,5,2010-06-11,809251.59
591,5,2010-06-18,853628.84
592,5,2010-06-25,778043.78
593,5,2010-07-02,842883.94
594,5,2010-07-09,753995.71
595,5,2010-07-16,725628.04
596,5,2010-07-23,711558.48
597,5,2010-07-30,738984.33
598,5,2010-08-06,756435.67
599,5,2010-08-13,689246.24
600,5,2010-08-20,707128.73
601,5,2010-08-27,636395.09
602,5,2010-09-03,657622.95
603,5,2010-09-10,664651.51
604,5,2010-09-17,697846.75
605,5,2010-09-24,701310.48
606,5,2010-10-01,862398.51
607,5,2010-10-08,858905.51
608,5,2010-10-15,827597.0499999999
609,5,2010-10-22,803796.42
610,5,2010-10-29,703476.8
611,5,2010-11-05,977070.81
612,5,2010-11-12,1105495.31
613,5,2010-11-19,1077025.22
614,5,2010-11-26,3260552.2399999998
615,5,2010-12-03,1493780.4
616,5,2010-12-10,2145232.43
617,5,2010-12-17,2836409.79
618,5,2010-12-24,4032442.74
619,5,2010-12-31,1202801.93
620,5,2011-01-07,852362.54
621,5,2011-01-14,732213.27
622,5,2011-01-21,732331.74
623,5,2011-01-28,818089.13
624,5,2011-02-04,1024066.58
625,5,2011-02-11,1062798.23
626,5,2011-02-18,1082621.93
627,5,2011-02-25,1014364.54
628,5,2011-03-04,1073755.43
629,5,2011-03-11,921644.1
630,5,2011-03-18,845946.5
631,5,2011-03-25,775802.3
632,5,2011-04-01,951711.6
633,5,2011-04-08,934560.37
634,5,2011-04-15,924741.02
635,5,2011-04-22,1055687.79
636,5,2011-04-29,758223.57
637,5,2011-05-06,655667.39
638,5,2011-05-13,602448.14
639,5,2011-05-20,679688.56
640,5,2011-05-27,669362.4299999999
641,5,2011-06-03,687301.93
642,5,2011-06-10,736412.08
643,5,2011-06-17,795270.5
644,5,2011-06-24,756607.14
645,5,2011-07-01,711924.78
646,5,2011-07-08,659203.8
647,5,2011-07-15,665561.96
648,5,2011-07-22,689370.38
649,5,2011-07-29,615967.68
650,5,2011-08-05,742472.99
651,5,2011-08-12,703222.03
652,5,2011-08-19,686442.37
653,5,2011-08-26,625175.82
654,5,2011-09-02,640810.15
655,5,2011-09-09,669680.63
656,5,2011-09-16,777722.27
657,5,2011-09-23,778915.15
658,5,2011-09-30,765771.59
659,5,2011-10-07,1006206.1
660,5,2011-10-14,880074.08
661,5,2011-10-21,1068876.69
662,5,2011-10-28,986102.0
663,5,2011-11-04,1049057.85
664,5,2011-11-11,1251586.36
665,5,2011-11-18,1042003.28
666,5,2011-11-25,3342449.78
667,5,2011-12-02,1139966.09
668,5,2011-12-09,1560958.42
669,5,2011-12-16,1977258.49
670,5,2011-12-23,2890348.45
671,5,2011-12-30,1292588.08
672,5,2012-01-06,798374.59
673,5,2012-01-13,674954.77
674,5,2012-01-20,697277.01
675,5,2012-01-27,709118.6
676,5,2012-02-03,898702.83
677,5,2012-02-10,1046284.83
678,5,2012-02-17,1450524.77
679,5,2012-02-24,1010537.75
680,5,2012-03-02,996680.62
681,5,2012-03-09,965070.0599999999
682,5,2012-03-16,929594.65
683,5,2012-03-23,811104.73
684,5,2012-03-30,866099.05
685,5,2012-04-06,1045948.79
686,5,2012-04-13,783557.65
687,5,2012-04-20,615079.51
688,5,2012-04-27,590437.96
689,5,2012-05-04,642450.36
690,5,2012-05-11,649398.53
691,5,2012-05-18,624112.49
692,5,2012-05-25,606566.52
693,5,2012-06-01,610554.73
694,5,2012-06-08,826768.73
695,5,2012-06-15,851362.53
696,5,2012-06-22,734192.15
697,5,2012-06-29,705479.18
698,5,2012-07-06,663501.84
699,5,2012-07-13,596908.14
700,5,2012-07-20,628583.8099999999
701,5,2012-07-27,561848.39
702,5,2012-08-03,568948.26
703,5,2012-08-10,636480.17
704,5,2012-08-17,607943.72
705,5,2012-08-24,904942.7
706,5,2012-08-31,711079.39
707,5,2012-09-07,657423.35
708,5,2012-09-14,689356.54
709,5,2012-09-21,716140.77
710,5,2012-09-28,966922.55
711,5,2012-10-05,865522.7
712,5,2012-10-12,792464.82
713,5,2012-10-19,879453.35
714,5,2012-10-26,884644.8099999999
715,6,2010-02-05,206793.28
716,6,2010-02-12,252086.57
717,6,2010-02-19,258741.79
718,6,2010-02-26,212400.43
719,6,2010-03-05,203133.97
720,6,2010-03-12,206438.36
721,6,2010-03-19,211646.67
722,6,2010-03-26,205778.2
723,6,2010-04-02,215677.68
724,6,2010-04-09,206312.51
725,6,2010-04-16,209470.53
726,6,2010-04-23,212679.17
727,6,2010-04-30,208062.43
728,6,2010-05-07,269226.81
729,6,2010-05-14,304188.4
730,6,2010-05-21,236040.6
731,6,2010-05-28,255273.93
732,6,2010-06-04,250053.69
733,6,2010-06-11,232473.21
734,6,2010-06-18,264046.89
735,6,2010-06-25,274133.38
736,6,2010-07-02,254928.23
737,6,2010-07-09,248839.73
738,6,2010-07-16,243246.88
739,6,2010-07-23,238014.66999999998
740,6,2010-07-30,237834.47
741,6,2010-08-06,240119.64
742,6,2010-08-13,231049.18
743,6,2010-08-20,209548.47
744,6,2010-08-27,185490.6
745,6,2010-09-03,180714.66
746,6,2010-09-10,189747.33
747,6,2010-09-17,173387.43
748,6,2010-09-24,178254.18
749,6,2010-10-01,184764.17
750,6,2010-10-08,180621.18
751,6,2010-10-15,175382.75
752,6,2010-10-22,169061.06
753,6,2010-10-29,180867.88
754,6,2010-11-05,180534.62
755,6,2010-11-12,158345.37
756,6,2010-11-19,163917.19
757,6,2010-11-26,992836.5800000001
758,6,2010-12-03,225824.97
759,6,2010-12-10,313720.91
760,6,2010-12-17,505617.38
761,6,2010-12-24,1050894.79
762,6,2010-12-31,191321.55
763,6,2011-01-07,126776.5
764,6,2011-01-14,110006.58
765,6,2011-01-21,110740.75
766,6,2011-01-28,127335.71
767,6,2011-02-04,154036.28
768,6,2011-02-11,172597.4
769,6,2011-02-18,189306.75
770,6,2011-02-25,156926.71
771,6,2011-03-04,169947.37
772,6,2011-03-11,152449.85
773,6,2011-03-18,163804.92
774,6,2011-03-25,166537.61
775,6,2011-04-01,169476.42
776,6,2011-04-08,164104.12
777,6,2011-04-15,170953.74
778,6,2011-04-22,185669.19
779,6,2011-04-29,181673.18
780,6,2011-05-06,207288.34
781,6,2011-05-13,228994.87
782,6,2011-05-20,194556.52
783,6,2011-05-27,203386.72
784,6,2011-06-03,190294.94
785,6,2011-06-10,199334.19
786,6,2011-06-17,215876.66
787,6,2011-06-24,204652.62
788,6,2011-07-01,198308.43
789,6,2011-07-08,193883.79
790,6,2011-07-15,182040.16
791,6,2011-07-22,186659.53
792,6,2011-07-29,177659.22
793,6,2011-08-05,170713.38999999998
794,6,2011-08-12,171398.21
795,6,2011-08-19,153271.62
796,6,2011-08-26,146061.19
797,6,2011-09-02,154348.68
798,6,2011-09-09,152090.65
799,6,2011-09-16,147528.04
800,6,2011-09-23,131489.76
801,6,2011-09-30,141091.59
802,6,2011-10-07,138202.43
803,6,2011-10-14,149600.75
804,6,2011-10-21,169824.02
805,6,2011-10-28,162439.39
806,6,2011-11-04,155857.72
807,6,2011-11-11,144061.3
808,6,2011-11-18,130182.56999999999
809,6,2011-11-25,782307.06
810,6,2011-12-02,164737.64
811,6,2011-12-09,209509.09
812,6,2011-12-16,335785.39
813,6,2011-12-23,628883.29
814,6,2011-12-30,290267.3
815,6,2012-01-06,114643.12
816,6,2012-01-13,92149.34
817,6,2012-01-20,94514.86
818,6,2012-01-27,95585.94
819,6,2012-02-03,117979.24
820,6,2012-02-10,152719.84
821,6,2012-02-17,168276.51
822,6,2012-02-24,143146.42
823,6,2012-03-02,127049.49
824,6,2012-03-09,134463.64
825,6,2012-03-16,139079.38
826,6,2012-03-23,113771.23000000001
827,6,2012-03-30,131464.18
828,6,2012-04-06,143020.67
829,6,2012-04-13,142962.72
830,6,2012-04-20,125737.17
831,6,2012-04-27,128326.58
832,6,2012-05-04,145245.98
833,6,2012-05-11,166273.32
834,6,2012-05-18,187310.95
835,6,2012-05-25,165343.69
836,6,2012-06-01,146055.42
837,6,2012-06-08,153858.61000000002
838,6,2012-06-15,172464.2
839,6,2012-06-22,164997.85
