,Store,Date,Total_Weekly_Sales
63,1,2011-04-22,1564819.81
64,1,2011-04-29,1455090.69
65,1,2011-05-06,1629391.28
66,1,2011-05-13,1604775.58
67,1,2011-05-20,1428218.27
68,1,2011-05-27,1466046.67
69,1,2011-06-03,1635078.41
70,1,2011-06-10,1588948.32
71,1,2011-06-17,1532114.86
72,1,2011-06-24,1438830.15
73,1,2011-07-01,1488538.09
74,1,2011-07-08,1534849.64
75,1,2011-07-15,1455119.97
76,1,2011-07-22,1396926.82
77,1,2011-07-29,1352219.79
78,1,2011-08-05,1624383.75
79,1,2011-08-12,1525147.09
80,1,2011-08-19,1530761.43
81,1,2011-08-26,1464693.46
82,1,2011-09-02,1550229.22
83,1,2011-09-09,1540471.24
84,1,2011-09-16,1514259.78
85,1,2011-09-23,1380020.27
86,1,2011-09-30,1394561.83
87,1,2011-10-07,1630989.95
88,1,2011-10-14,1493525.93
89,1,2011-10-21,1502562.78
90,1,2011-10-28,1445249.09
91,1,2011-11-04,1697229.58
92,1,2011-11-11,1594938.8900000001
93,1,2011-11-18,1539483.7
94,1,2011-11-25,2033320.66
95,1,2011-12-02,1584083.95
96,1,2011-12-09,1799682.38
97,1,2011-12-16,1881176.67
98,1,2011-12-23,2270188.99
99,1,2011-12-30,1497462.72
100,1,2012-01-06,1550369.92
101,1,2012-01-13,1459601.17
102,1,2012-01-20,1394393.84
103,1,2012-01-27,1319325.59
104,1,2012-02-03,1636339.65
105,1,2012-02-10,1802477.43
106,1,2012-02-17,1819870.0
107,1,2012-02-24,1539387.83
108,1,2012-03-02,1688420.76
109,1,2012-03-09,1675431.16
110,1,2012-03-16,1677472.78
111,1,2012-03-23,1511068.07
112,1,2012-03-30,1649604.63
113,1,2012-04-06,1899676.8800000001
114,1,2012-04-13,1621031.7
115,1,2012-04-20,1521577.8699999999
116,1,2012-04-27,1468928.3699999999
117,1,2012-05-04,1684519.99
118,1,2012-05-11,1611096.05
119,1,2012-05-18,1595901.87
120,1,2012-05-25,1555444.55
121,1,2012-06-01,1624477.58
122,1,2012-06-08,1697230.96
123,1,2012-06-15,1630607.0
124,1,2012-06-22,1527845.81
125,1,2012-06-29,1540421.49
126,1,2012-07-06,1769854.16
127,1,2012-07-13,1527014.04
128,1,2012-07-20,1497954.76
129,1,2012-07-27,1439123.71
130,1,2012-08-03,1631135.79
131,1,2012-08-10,1592409.97
132,1,2012-08-17,1597868.05
133,1,2012-08-24,1494122.38
134,1,2012-08-31,1582083.4
135,1,2012-09-07,1661767.33
136,1,2012-09-14,1517428.87
137,1,2012-09-21,1506126.06
138,1,2012-09-28,1437059.26
139,1,2012-10-05,1670785.97
140,1,2012-10-12,1573072.81
141,1,2012-10-19,1508068.77
142,1,2012-10-26,1493659.74
143,2,2010-02-05,2136989.46
144,2,2010-02-12,2137809.5
145,2,2010-02-19,2124451.54
146,2,2010-02-26,1865097.27
147,2,2010-03-05,1991013.13
148,2,2010-03-12,1990483.78
149,2,2010-03-19,1946070.8800000001
150,2,2010-03-26,1750197.81
151,2,2010-04-02,2066187.72
152,2,2010-04-09,1954689.21
153,2,2010-04-16,1874957.94
154,2,2010-04-23,1821990.93
155,2,2010-04-30,1802450.29
156,2,2010-05-07,2042581.71
157,2,2010-05-14,1880752.36
158,2,2010-05-21,1896937.1
159,2,2010-05-28,1957113.89
160,2,2010-06-04,2102539.93
161,2,2010-06-11,2025538.76
162,2,2010-06-18,2001636.96
163,2,2010-06-25,1939927.09
164,2,2010-07-02,2003940.64
165,2,2010-07-09,1880902.6199999999
166,2,2010-07-16,1845879.79
167,2,2010-07-23,1781717.71
168,2,2010-07-30,1804246.16
169,2,2010-08-06,1991909.98
170,2,2010-08-13,1895601.05
171,2,2010-08-20,1964335.23
172,2,2010-08-27,1863840.49
173,2,2010-09-03,1904608.09
174,2,2010-09-10,1839128.83
175,2,2010-09-17,1793903.5999999999
176,2,2010-09-24,1724557.22
177,2,2010-10-01,1827440.43
178,2,2010-10-08,1849921.44
179,2,2010-10-15,1794355.49
180,2,2010-10-22,1737947.64
181,2,2010-10-29,1802755.11
182,2,2010-11-05,1939061.41
183,2,2010-11-12,1916812.74
184,2,2010-11-19,1956739.17
185,2,2010-11-26,2658725.29
186,2,2010-12-03,2015781.27
187,2,2010-12-10,2378726.55
188,2,2010-12-17,2609166.75
189,2,2010-12-24,3436007.68
190,2,2010-12-31,1750434.55
191,2,2011-01-07,1758050.79
192,2,2011-01-14,1744193.58
193,2,2011-01-21,1751384.9
194,2,2011-01-28,1695371.68
195,2,2011-02-04,1929346.23
196,2,2011-02-11,2168041.61
197,2,2011-02-18,2080884.82
198,2,2011-02-25,1833511.08
199,2,2011-03-04,1981607.78
200,2,2011-03-11,1879107.31
201,2,2011-03-18,1902557.66
202,2,2011-03-25,1766162.05
203,2,2011-04-01,1800171.3599999999
204,2,2011-04-08,1847552.61
205,2,2011-04-15,1856467.84
206,2,2011-04-22,1886339.6
207,2,2011-04-29,1745545.28
208,2,2011-05-06,1837743.6
209,2,2011-05-13,1838513.07
210,2,2011-05-20,1688281.8599999999
211,2,2011-05-27,1797732.56
212,2,2011-06-03,1933756.21
213,2,2011-06-10,1929153.1600000001
214,2,2011-06-17,1953771.99
215,2,2011-06-24,1790925.8
216,2,2011-07-01,1866243.0
217,2,2011-07-08,1853161.99
218,2,2011-07-15,1785187.29
219,2,2011-07-22,1743816.41
220,2,2011-07-29,1680693.06
221,2,2011-08-05,1876704.26
222,2,2011-08-12,1812768.26
223,2,2011-08-19,1844094.59
224,2,2011-08-26,1821139.91
225,2,2011-09-02,1809119.7
226,2,2011-09-09,1748000.65
227,2,2011-09-16,1691439.52
228,2,2011-09-23,1669299.78
229,2,2011-09-30,1650394.44
230,2,2011-10-07,1837553.43
231,2,2011-10-14,1743882.19
232,2,2011-10-21,1834680.25
233,2,2011-10-28,1769296.25
234,2,2011-11-04,1959707.9
235,2,2011-11-11,1920725.15
236,2,2011-11-18,1902762.5
237,2,2011-11-25,2614202.3
238,2,2011-12-02,1954952.0
239,2,2011-12-09,2290549.32
240,2,2011-12-16,2432736.52
241,2,2011-12-23,3224369.8
242,2,2011-12-30,1874226.52
243,2,2012-01-06,1799520.1400000001
244,2,2012-01-13,1744725.48
245,2,2012-01-20,1711769.11
246,2,2012-01-27,1660906.1400000001
247,2,2012-02-03,1935299.94
248,2,2012-02-10,2103322.68
249,2,2012-02-17,2196688.46
250,2,2012-02-24,1861802.7
251,2,2012-03-02,1952555.66
252,2,2012-03-09,1937628.26
253,2,2012-03-16,1976082.13
254,2,2012-03-23,1790439.16
255,2,2012-03-30,1857480.84
256,2,2012-04-06,2129035.91
257,2,2012-04-13,1935869.1
258,2,2012-04-20,1847344.45
259,2,2012-04-27,1764133.09
260,2,2012-05-04,1923957.0899999999
261,2,2012-05-11,1917520.99
262,2,2012-05-18,2000940.67
263,2,2012-05-25,1912791.09
264,2,2012-06-01,1910092.3699999999
265,2,2012-06-08,2010216.49
266,2,2012-06-15,1962924.3
267,2,2012-06-22,1887733.21
268,2,2012-06-29,1881046.12
269,2,2012-07-06,2041507.4
270,2,2012-07-13,1830075.13
271,2,2012-07-20,1819666.46
272,2,2012-07-27,1757923.88
273,2,2012-08-03,1946104.6400000001
274,2,2012-08-10,1866719.96
275,2,2012-08-17,1928016.01
276,2,2012-08-24,1876788.15
277,2,2012-08-31,1947083.3
278,2,2012-09-07,1898777.07
279,2,2012-09-14,1814806.6300000001
280,2,2012-09-21,1829415.67
281,2,2012-09-28,1746470.56
282,2,2012-10-05,1998321.04
283,2,2012-10-12,1900745.13
284,2,2012-10-19,1847990.41
285,2,2012-10-26,1834458.35
286,3,2010-02-05,461622.22
287,3,2010-02-12,420728.96
288,3,2010-02-19,421642.19
289,3,2010-02-26,407204.86
290,3,2010-03-05,415202.04000000004
291,3,2010-03-12,384200.69
292,3,2010-03-19,375328.58999999997
293,3,2010-03-26,359949.27
294,3,2010-04-02,423294.4
295,3,2010-04-09,415870.28
296,3,2010-04-16,354993.26
297,3,2010-04-23,339976.65
298,3,2010-04-30,361248.39
299,3,2010-05-07,399323.86
300,3,2010-05-14,384357.94
301,3,2010-05-21,343763.17
302,3,2010-05-28,350089.23
303,3,2010-06-04,396968.8
304,3,2010-06-11,355017.09
305,3,2010-06-18,364076.85
306,3,2010-06-25,357346.48
307,3,2010-07-02,381151.72000000003
308,3,2010-07-09,349214.18
309,3,2010-07-16,352728.78
310,3,2010-07-23,352864.49
311,3,2010-07-30,347955.05
312,3,2010-08-06,402635.76
313,3,2010-08-13,339597.38
314,3,2010-08-20,351728.21
315,3,2010-08-27,362134.08999999997
316,3,2010-09-03,366473.97000000003
317,3,2010-09-10,352260.97
318,3,2010-09-17,363064.64
319,3,2010-09-24,355626.87
320,3,2010-10-01,358784.1
321,3,2010-10-08,395107.35000000003
322,3,2010-10-15,345584.39
323,3,2010-10-22,348895.98
324,3,2010-10-29,348591.74
325,3,2010-11-05,423175.56
326,3,2010-11-12,386635.03
327,3,2010-11-19,372545.32
328,3,2010-11-26,565567.84
329,3,2010-12-03,476420.77
330,3,2010-12-10,467642.02999999997
331,3,2010-12-17,498159.39
332,3,2010-12-24,605990.41
333,3,2010-12-31,382677.76
334,3,2011-01-07,378241.33999999997
335,3,2011-01-14,381061.10000000003
336,3,2011-01-21,350876.7
337,3,2011-01-28,364866.24000000005
338,3,2011-02-04,438516.53
339,3,2011-02-11,430526.21
340,3,2011-02-18,432782.1
341,3,2011-02-25,397211.19
342,3,2011-03-04,437084.51
343,3,2011-03-11,404753.3
344,3,2011-03-18,392109.51
345,3,2011-03-25,380683.67
346,3,2011-04-01,374556.07999999996
347,3,2011-04-08,384075.31
348,3,2011-04-15,366250.69
349,3,2011-04-22,391860.04
350,3,2011-04-29,367405.4
351,3,2011-05-06,413042.12
352,3,2011-05-13,386312.68
353,3,2011-05-20,364603.13
354,3,2011-05-27,369350.6
355,3,2011-06-03,394507.84
356,3,2011-06-10,391638.75
357,3,2011-06-17,403423.34
358,3,2011-06-24,385520.71
359,3,2011-07-01,368962.72000000003
360,3,2011-07-08,395146.24
361,3,2011-07-15,373454.33
362,3,2011-07-22,360617.37
363,3,2011-07-29,345381.29
364,3,2011-08-05,409981.25
365,3,2011-08-12,380376.85
366,3,2011-08-19,379716.91000000003
367,3,2011-08-26,366367.55
368,3,2011-09-02,375988.69
369,3,2011-09-09,377347.49
370,3,2011-09-16,375629.51
371,3,2011-09-23,365248.94
372,3,2011-09-30,368477.93
373,3,2011-10-07,403342.4
374,3,2011-10-14,368282.57
375,3,2011-10-21,394976.36
376,3,2011-10-28,389540.62
377,3,2011-11-04,459443.22
378,3,2011-11-11,407764.25
379,3,2011-11-18,398838.97
380,3,2011-11-25,556925.1900000001
381,3,2011-12-02,472511.32
382,3,2011-12-09,468772.8
383,3,2011-12-16,510747.62
384,3,2011-12-23,551221.21
385,3,2011-12-30,410553.88
386,3,2012-01-06,398178.21
387,3,2012-01-13,367438.62
388,3,2012-01-20,365818.61
389,3,2012-01-27,349518.1
390,3,2012-02-03,424960.66000000003
391,3,2012-02-10,473292.47000000003
392,3,2012-02-17,475591.08
393,3,2012-02-24,418925.47
394,3,2012-03-02,469752.56
395,3,2012-03-09,445162.05
396,3,2012-03-16,411775.8
397,3,2012-03-23,413907.25
398,3,2012-03-30,407488.83999999997
399,3,2012-04-06,503232.13
400,3,2012-04-13,420789.74
401,3,2012-04-20,434822.13
402,3,2012-04-27,394616.11
403,3,2012-05-04,439913.57
404,3,2012-05-11,431985.36
405,3,2012-05-18,418112.76
406,3,2012-05-25,413701.29
407,3,2012-06-01,432268.53
408,3,2012-06-08,446336.8
409,3,2012-06-15,442074.79
410,3,2012-06-22,419497.95
411,3,2012-06-29,422965.33
412,3,2012-07-06,411206.5
413,3,2012-07-13,416913.1
414,3,2012-07-20,432424.85
415,3,2012-07-27,389427.9
416,3,2012-08-03,419990.29000000004
417,3,2012-08-10,391811.6
418,3,2012-08-17,394918.83
419,3,2012-08-24,412449.67
420,3,2012-08-31,408838.73
421,3,2012-09-07,408229.73000000004
422,3,2012-09-14,407589.16
423,3,2012-09-21,414392.09
424,3,2012-09-28,389813.02
425,3,2012-10-05,443557.65
426,3,2012-10-12,410804.39
427,3,2012-10-19,424513.08
428,3,2012-10-26,405432.7
429,4,2010-02-05,2135143.87
430,4,2010-02-12,2188307.39
431,4,2010-02-19,2049860.26
432,4,2010-02-26,1925728.84
433,4,2010-03-05,1971057.44
434,4,2010-03-12,1894324.09
435,4,2010-03-19,1897429.36
436,4,2010-03-26,1762539.3
437,4,2010-04-02,1979247.1199999999
438,4,2010-04-09,1818452.72
439,4,2010-04-16,1851519.69
440,4,2010-04-23,1802677.9
441,4,2010-04-30,1817273.28
442,4,2010-05-07,2000626.14
443,4,2010-05-14,1875597.28
444,4,2010-05-21,1903752.6
445,4,2010-05-28,1857533.7
446,4,2010-06-04,1903290.58
447,4,2010-06-11,1870619.23
448,4,2010-06-18,1929736.35
449,4,2010-06-25,1846651.95
450,4,2010-07-02,1881337.21
451,4,2010-07-09,1812208.22
452,4,2010-07-16,1898427.66
453,4,2010-07-23,1848426.78
454,4,2010-07-30,1796637.6099999999
455,4,2010-08-06,1907638.58
456,4,2010-08-13,2007050.75
457,4,2010-08-20,1997181.09
458,4,2010-08-27,1848403.92
459,4,2010-09-03,1935857.58
460,4,2010-09-10,1865820.81
461,4,2010-09-17,1899959.61
462,4,2010-09-24,1810684.68
463,4,2010-10-01,1842821.02
464,4,2010-10-08,1951494.85
465,4,2010-10-15,1867345.09
466,4,2010-10-22,1927610.06
467,4,2010-10-29,1933333.0
468,4,2010-11-05,2013115.79
469,4,2010-11-12,1999794.26
470,4,2010-11-19,2097809.4
471,4,2010-11-26,2789469.45
472,4,2010-12-03,2102530.17
473,4,2010-12-10,2302504.86
474,4,2010-12-17,2740057.14
475,4,2010-12-24,3526713.39
476,4,2010-12-31,1794868.74
477,4,2011-01-07,1862476.27
478,4,2011-01-14,1865502.46
479,4,2011-01-21,1886393.9400000002
480,4,2011-01-28,1814240.85
481,4,2011-02-04,2119086.04
482,4,2011-02-11,2187847.29
483,4,2011-02-18,2316495.56
484,4,2011-02-25,2078094.69
485,4,2011-03-04,2103455.75
486,4,2011-03-11,2039818.41
487,4,2011-03-18,2116475.38
488,4,2011-03-25,1944164.32
489,4,2011-04-01,1900246.47
490,4,2011-04-08,2074953.46
491,4,2011-04-15,1960587.76
492,4,2011-04-22,2220600.7600000002
493,4,2011-04-29,1878167.44
494,4,2011-05-06,2063682.76
495,4,2011-05-13,2002362.37
496,4,2011-05-20,2015563.48
497,4,2011-05-27,1986597.95
498,4,2011-06-03,2065377.1500000001
499,4,2011-06-10,2073951.38
500,4,2011-06-17,2141210.62
501,4,2011-06-24,2008344.92
502,4,2011-07-01,2051533.53
503,4,2011-07-08,2066541.8599999999
504,4,2011-07-15,2049046.95
505,4,2011-07-22,2036231.39
506,4,2011-07-29,1989674.07
507,4,2011-08-05,2160057.39
508,4,2011-08-12,2105668.7399999998
509,4,2011-08-19,2232892.1
510,4,2011-08-26,1988490.21
511,4,2011-09-02,2078420.31
512,4,2011-09-09,2093139.01
513,4,2011-09-16,2075577.33
514,4,2011-09-23,2031406.41
515,4,2011-09-30,1929486.6300000001
516,4,2011-10-07,2166737.65
517,4,2011-10-14,2074548.8499999999
518,4,2011-10-21,2207742.13
519,4,2011-10-28,2151659.59
520,4,2011-11-04,2281217.31
521,4,2011-11-11,2203028.96
522,4,2011-11-18,2243946.59
523,4,2011-11-25,3004702.33
524,4,2011-12-02,2180999.26
525,4,2011-12-09,2508955.2399999998
526,4,2011-12-16,2771397.17
527,4,2011-12-23,3676388.98
528,4,2011-12-30,2007105.86
529,4,2012-01-06,2047766.07
530,4,2012-01-13,1941676.61
531,4,2012-01-20,2005097.76
532,4,2012-01-27,1928720.51
533,4,2012-02-03,2173373.91
534,4,2012-02-10,2374660.64
535,4,2012-02-17,2427640.17
536,4,2012-02-24,2226662.17
537,4,2012-03-02,2206319.9
538,4,2012-03-09,2202450.81
539,4,2012-03-16,2214967.44
540,4,2012-03-23,2091592.54
541,4,2012-03-30,2089381.77
542,4,2012-04-06,2470206.13
543,4,2012-04-13,2105301.39
544,4,2012-04-20,2144336.89
545,4,2012-04-27,2064065.66
546,4,2012-05-04,2196968.33
547,4,2012-05-11,2127661.17
548,4,2012-05-18,2207214.81
549,4,2012-05-25,2154137.67
550,4,2012-06-01,2179360.94
551,4,2012-06-08,2245257.18
552,4,2012-06-15,2234190.93
553,4,2012-06-22,2197299.65
554,4,2012-06-29,2128362.92
555,4,2012-07-06,2224499.28
556,4,2012-07-13,2100252.61
557,4,2012-07-20,2175563.69
558,4,2012-07-27,2048613.65
559,4,2012-08-03,2174514.13
560,4,2012-08-10,2193367.69
561,4,2012-08-17,2283540.3
562,4,2012-08-24,2125241.68
563,4,2012-08-31,2081181.35
564,4,2012-09-07,2125104.7199999997
565,4,2012-09-14,2117854.6
566,4,2012-09-21,2119438.5300000003
567,4,2012-09-28,2027620.23
568,4,2012-10-05,2209835.43
569,4,2012-10-12,2133026.07
570,4,2012-10-19,2097266.85
571,4,2012-10-26,2149594.46
572,5,2010-02-05,317173.1
573,5,2010-02-12,311825.7
574,5,2010-02-19,303447.57
575,5,2010-02-26,270281.63
576,5,2010-03-05,288855.71
577,5,2010-03-12,297293.58999999997
578,5,2010-03-19,281706.41
579,5,2010-03-26,273282.97
580,5,2010-04-02,331406.0
581,5,2010-04-09,328020.49
582,5,2010-04-16,306858.69
583,5,2010-04-23,288839.73
584,5,2010-04-30,298697.84
585,5,2010-05-07,333522.6
586,5,2010-05-14,296673.77
587,5,2010-05-21,301615.49
588,5,2010-05-28,310013.11
589,5,2010-06-04,337825.89
590,5,2010-06-11,296641.91
591,5,2010-06-18,313795.6
592,5,2010-06-25,295257.3
593,5,2010-07-02,305993.27
594,5,2010-07-09,291808.87
595,5,2010-07-16,280701.7
596,5,2010-07-23,274742.63
597,5,2010-07-30,268929.03
598,5,2010-08-06,303043.02
599,5,2010-08-13,286477.35
600,5,2010-08-20,287205.38
601,5,2010-08-27,288519.75
602,5,2010-09-03,323798.0
603,5,2010-09-10,306533.08
604,5,2010-09-17,282558.65
605,5,2010-09-24,293131.58
606,5,2010-10-01,283178.12
607,5,2010-10-08,290494.85
608,5,2010-10-15,280681.2
609,5,2010-10-22,284988.27
610,5,2010-10-29,278031.81
611,5,2010-11-05,325310.3
612,5,2010-11-12,301827.36
613,5,2010-11-19,297384.81
614,5,2010-11-26,488362.61
615,5,2010-12-03,344490.88
616,5,2010-12-10,352811.53
617,5,2010-12-17,367801.19
618,5,2010-12-24,466010.25
619,5,2010-12-31,298180.18
620,5,2011-01-07,286347.26
621,5,2011-01-14,260636.71
622,5,2011-01-21,275313.34
623,5,2011-01-28,279088.39
624,5,2011-02-04,329613.2
625,5,2011-02-11,311590.54
626,5,2011-02-18,356622.61
627,5,2011-02-25,294659.5
628,5,2011-03-04,329033.66
629,5,2011-03-11,293098.1
630,5,2011-03-18,312177.67
631,5,2011-03-25,294732.5
632,5,2011-04-01,314316.55
633,5,2011-04-08,307333.62
634,5,2011-04-15,307913.58
635,5,2011-04-22,328415.44
636,5,2011-04-29,307291.56
637,5,2011-05-06,322904.68
638,5,2011-05-13,290930.01
639,5,2011-05-20,299614.33
640,5,2011-05-27,297149.69
641,5,2011-06-03,329183.92
642,5,2011-06-10,304984.14
643,5,2011-06-17,304811.82
644,5,2011-06-24,302881.64
645,5,2011-07-01,327093.89
646,5,2011-07-08,310804.93
647,5,2011-07-15,283248.62
648,5,2011-07-22,292539.73
649,5,2011-07-29,275142.17
650,5,2011-08-05,317738.56
651,5,2011-08-12,289886.16000000003
652,5,2011-08-19,303643.83999999997
653,5,2011-08-26,310338.17
654,5,2011-09-02,315645.53
655,5,2011-09-09,321110.22
656,5,2011-09-16,278529.71
657,5,2011-09-23,291024.98
658,5,2011-09-30,292315.38
659,5,2011-10-07,309111.47000000003
660,5,2011-10-14,286117.72
661,5,2011-10-21,306069.18
662,5,2011-10-28,307035.11
663,5,2011-11-04,353652.23
664,5,2011-11-11,311906.7
665,5,2011-11-18,307944.37
666,5,2011-11-25,507900.07
667,5,2011-12-02,376225.61
668,5,2011-12-09,367433.77
669,5,2011-12-16,379530.3
670,5,2011-12-23,458562.24
671,5,2011-12-30,349624.88
672,5,2012-01-06,312078.71
673,5,2012-01-13,291454.52
674,5,2012-01-20,287523.98
675,5,2012-01-27,295974.22
676,5,2012-02-03,333948.0
677,5,2012-02-10,349239.88
678,5,2012-02-17,356427.98
679,5,2012-02-24,312220.47
680,5,2012-03-02,359206.21
681,5,2012-03-09,347295.6
682,5,2012-03-16,339392.54
683,5,2012-03-23,321299.99
684,5,2012-03-30,331318.73
685,5,2012-04-06,402985.7
686,5,2012-04-13,351832.02999999997
687,5,2012-04-20,330063.06
688,5,2012-04-27,324839.74
689,5,2012-05-04,360932.69
690,5,2012-05-11,333870.52
691,5,2012-05-18,336189.66
692,5,2012-05-25,341994.48
693,5,2012-06-01,359867.8
694,5,2012-06-08,341704.59
695,5,2012-06-15,327383.64
696,5,2012-06-22,325041.68
697,5,2012-06-29,329658.1
698,5,2012-07-06,341214.43
699,5,2012-07-13,316203.64
700,5,2012-07-20,321205.12
701,5,2012-07-27,306827.36
702,5,2012-08-03,324195.17
703,5,2012-08-10,306759.7
704,5,2012-08-17,314014.18
705,5,2012-08-24,320831.36
706,5,2012-08-31,344642.01
707,5,2012-09-07,350648.91
708,5,2012-09-14,299800.67
709,5,2012-09-21,307306.76
710,5,2012-09-28,310141.68
711,5,2012-10-05,343048.29
712,5,2012-10-12,325345.41
713,5,2012-10-19,313358.15
714,5,2012-10-26,319550.77
715,6,2010-02-05,1652635.1
716,6,2010-02-12,1606283.8599999999
717,6,2010-02-19,1567138.07
718,6,2010-02-26,1432953.21
719,6,2010-03-05,1601348.82
720,6,2010-03-12,1558621.36
721,6,2010-03-19,1693058.91
722,6,2010-03-26,1472033.38
723,6,2010-04-02,1770333.9
724,6,2010-04-09,1667181.82
725,6,2010-04-16,1519846.36
726,6,2010-04-23,1540435.99
727,6,2010-04-30,1498080.16
728,6,2010-05-07,1619920.04
729,6,2010-05-14,1524059.4
730,6,2010-05-21,1531938.44
731,6,2010-05-28,1644470.66
732,6,2010-06-04,1857380.09
733,6,2010-06-11,1685652.35
734,6,2010-06-18,1677248.24
735,6,2010-06-25,1640681.88
736,6,2010-07-02,1759777.25
737,6,2010-07-09,1690317.99
738,6,2010-07-16,1560120.8
739,6,2010-07-23,1585240.92
740,6,2010-07-30,1532308.78
741,6,2010-08-06,1633241.59
742,6,2010-08-13,1547654.98
743,6,2010-08-20,1539930.5
744,6,2010-08-27,1450766.1199999999
745,6,2010-09-03,1510925.32
746,6,2010-09-10,1424225.44
747,6,2010-09-17,1308537.75
748,6,2010-09-24,1275591.84
749,6,2010-10-01,1328468.89
750,6,2010-10-08,1360317.9
751,6,2010-10-15,1344580.92
752,6,2010-10-22,1332716.53
753,6,2010-10-29,1385323.7
754,6,2010-11-05,1505442.15
755,6,2010-11-12,1495536.46
756,6,2010-11-19,1518841.45
757,6,2010-11-26,2267452.4
758,6,2010-12-03,1677067.24
759,6,2010-12-10,1834737.58
760,6,2010-12-17,2090268.95
761,6,2010-12-24,2727575.18
762,6,2010-12-31,1464050.02
763,6,2011-01-07,1350441.68
764,6,2011-01-14,1306194.55
765,6,2011-01-21,1261253.18
766,6,2011-01-28,1287034.7
767,6,2011-02-04,1514999.17
768,6,2011-02-11,1486920.17
769,6,2011-02-18,1572117.54
770,6,2011-02-25,1422600.43
771,6,2011-03-04,1502617.99
772,6,2011-03-11,1494497.3900000001
773,6,2011-03-18,1685375.47
774,6,2011-03-25,1438465.81
775,6,2011-04-01,1459276.77
776,6,2011-04-08,1534594.0
777,6,2011-04-15,1448797.02
778,6,2011-04-22,1639358.93
779,6,2011-04-29,1479249.9
780,6,2011-05-06,1504651.57
781,6,2011-05-13,1453185.65
782,6,2011-05-20,1382783.83
783,6,2011-05-27,1523979.11
784,6,2011-06-03,1705506.29
785,6,2011-06-10,1598643.65
786,6,2011-06-17,1622150.33
787,6,2011-06-24,1543365.9000000001
788,6,2011-07-01,1694551.15
789,6,2011-07-08,1709373.62
790,6,2011-07-15,1526801.24
791,6,2011-07-22,1526506.08
792,6,2011-07-29,1483991.05
793,6,2011-08-05,1601584.57
794,6,2011-08-12,1484995.38
795,6,2011-08-19,1493544.04
796,6,2011-08-26,1420405.41
797,6,2011-09-02,1481618.74
798,6,2011-09-09,1483574.38
799,6,2011-09-16,1351407.79
800,6,2011-09-23,1336044.75
801,6,2011-09-30,1307551.92
802,6,2011-10-07,1481739.2
803,6,2011-10-14,1386520.99
804,6,2011-10-21,1417922.3699999999
805,6,2011-10-28,1419445.12
806,6,2011-11-04,1523420.38
807,6,2011-11-11,1536176.54
808,6,2011-11-18,1524390.07
809,6,2011-11-25,2249811.55
810,6,2011-12-02,1688531.34
811,6,2011-12-09,1903385.14
812,6,2011-12-16,2034695.56
813,6,2011-12-23,2644633.02
814,6,2011-12-30,1598080.52
815,6,2012-01-06,1395339.71
816,6,2012-01-13,1344243.17
817,6,2012-01-20,1326255.7
818,6,2012-01-27,1315610.66
819,6,2012-02-03,1496305.78
820,6,2012-02-10,1620603.92
821,6,2012-02-17,1632616.09
822,6,2012-02-24,1465187.71
823,6,2012-03-02,1550385.65
824,6,2012-03-09,1569304.4
825,6,2012-03-16,1748010.29
826,6,2012-03-23,1495143.62
